player_id,rank_number
1631105,99
1630193,126
1629020,142
201587,202
1630631,292
1631097,141
1628381,88
202709,348
1629012,135
1627814,359
1630567,59
202692,244
203932,119
1629651,55
203914,319
203952,87
200768,154
203457,282
1631114,58
201565,279
1628365,90
1630194,164
1629629,275
1628964,209
1629640,158
1629655,80
201569,204
1627827,177
201142,9
1627777,290
1628975,198
1630526,449
1628973,33
1630586,543
203939,308
1628404,108
1626167,39
1626192,231
1631093,128
1628969,19
203496,208
1628418,215
1629667,269
1631109,112
203991,86
1631101,115
1629643,250
1629611,184
1629060,181
1630692,330
202331,27
1627936,168
201145,448
202695,26
1628398,77
1629632,148
1627739,224
1629638,251
1628983,3
201937,343
203083,185
1631172,335
1628470,295
1630165,237
1629647,233
1629652,163
1627752,331
1630529,147
1629627,57
1626168,313
1629014,72
204060,270
1629639,69
203084,132
1630537,219
1629680,153
1629614,245
1629723,260
201143,125
1630573,302
1630200,101
1629684,167
1628379,196
1629630,96
1629637,246
1631222,355
1630178,54
1628960,228
1630598,349
1626158,173
1630172,137
1631117,52
1630208,230
1629626,305
202681,18
1627826,110
1630173,212
1630188,217
1629659,225
1627749,30
1630596,42
1626220,174
1630591,169
1630700,320
1629216,243
1629111,299
1630171,223
203915,105
203897,43
202330,146
203924,67
1630175,144
1626224,378
1626153,172
1630558,257
1628401,78
1630557,265
1630578,53
1631110,238
1629656,193
203110,98
1629006,284
1631099,102
1629670,457
1630230,318
203488,321
1628415,151
1626145,71
202685,94
203926,402
1630228,179
1630538,191
202711,143
201939,7
1630164,189
1630559,83
202691,81
203507,10
1628997,145
1627742,50
1629027,14
1629011,97
203994,103
1628370,195
1630191,133
1629646,300
1629636,35
1628380,104
202710,21
1627783,32
1629642,259
201144,113
203552,210
1626164,17
1629726,415
203954,2
1627747,160
202696,44
1629675,165
203486,166
1630182,247
1628449,187
1630543,197
201950,47
1628467,239
1628374,25
202704,211
1631094,65
203081,8
203471,156
1627763,122
203903,127
1630583,281
203925,236
1630224,123
203999,1
1630217,24
203937,129
201567,182
1630533,312
1630166,134
1629622,235
1629234,248
1628998,267
1629634,199
1629028,48
1628378,16
203967,266
203935,89
203095,241
1630169,6
203493,252
203078,92
1631223,293
1626196,152
1627832,31
1629673,56
1629130,226
203484,161
203944,49
1630180,124
1630581,63
1629162,455
203114,74
201935,22
1630168,85
1630162,15
1630552,214
203992,139
1628966,287
1628369,4
1627734,13
202699,76
1631132,298
1630197,227
1628386,51
1631103,280
1630174,303
203497,66
203076,12
101108,75
1629002,382
1629029,5
1629021,278
201988,507
1630245,207
1628389,29
1630560,249
201152,276
203473,403
1630170,73
1626166,206
1627750,46
203200,285
203109,203
1630579,451
1630167,121
201976,188
1631106,138
1629731,397
1631104,364
1631119,306
1629676,268
1630183,111
1628989,117
1627751,68
1627741,84
1628978,171
1629013,477
1630528,333
201572,61
1629003,329
1630532,62
1629026,307
1630587,422
1626181,136
1630595,38
1626179,70
1630544,532
203482,155
1627736,186
1627759,40
204001,41
1630198,325
1629661,64
